;user_id;sex;university;faculty;graduation_year;faculty_type;outMinTransactionTime;outMaxTransactionTime;outMinCost;outMaxCost;outSumCost;outTransactionsCount;outAvgCost;outMinGap;outMaxGap;outEndTime;outCategoriesCount;inMinTransactionTime;inMaxTransactionTime;inMinCost;inMaxCost;inSumCost;inTransactionsCount;inAvgCost;inMinGap;inMaxGap;inEndTime;inCategoriesCount;cash_acts;credits;bookmaker_in;bookmaker_out;bookmaker_delta;online_games_in;online_games_out;online_games_delta;target
0;1;Муж;ТвГТУ;Дополнительного профессионального образования;2016;Human;15;26;10;2600;5810;10;581.0;1;6;11;2;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
1;39;;РГУ им. Канта (бывш. КГУ);Институт гуманитарных наук (бывш. Исторический, Филологии и журналистики);2014;Human;4;4;10;10;10;1;10.0;0;0;33;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
2;47;Муж;СПбГУ;Прикладных коммуникаций (Высшая школа журналистики и массовых коммуникаций);2018;Human;3;35;20;800;4850;26;186.53799999999998;0;6;2;3;3;35;30;1500;6280;15;418.667;0;8;2;3;10;0;0;0;0;0;4650;4650;74.1665
3;52;Муж;КГУ (бывш. КГПИ, КМИ);Филологический;2018;Human;3;33;10;5600;10450;15;696.6669999999999;0;15;4;5;3;25;150;200;350;2;175.0;22;22;12;1;2;0;0;0;0;0;0;0;74.1665
4;59;;ЧГУ;Институт педагогики и психологии;2014;Human;13;28;10;200;480;14;34.2857;0;7;9;3;13;17;100;3200;8100;16;506.25;1;1;20;1;5;0;0;0;0;0;0;0;74.1665
5;67;;ВоГТУ;Гуманитарный;2016;Human;1;7;10;30;50;3;16.6667;0;6;30;3;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
6;82;;УлГУ (бывш. филиал МГУ);Российско-американский (Институт международных отношений);2014;Human;1;12;20;13000;25020;7;3574.29;1;6;25;2;1;6;2000;13000;25000;6;4166.67;1;2;31;1;5;1;0;0;0;0;0;0;74.1665
7;83;Жен;УлГУ (бывш. филиал МГУ);Лингвистики, межкультурных связей и профессиональной коммуникации (бывш. Лингвистики и международного сотрудничества, Иностранных языков и профессиональной коммуникации);2017;Human;28;28;4400;4400;4400;1;4400.0;0;0;9;1;28;28;4500;4500;4500;1;4500.0;0;0;9;1;1;1;0;0;0;0;0;0;74.1665
8;88;Муж;УлГУ (бывш. филиал МГУ);Институт дополнительного образования;2018;Human;28;28;2000;2000;2000;5;400.0;0;0;9;1;28;28;900;900;900;1;900.0;0;0;9;1;1;0;0;2000;2000;0;0;0;74.1665
9;126;;БГСХА;Гуманитарный;2017;Human;2;11;50;100;250;3;83.3333;1;8;26;1;2;11;50;100;250;3;83.3333;1;8;26;1;3;0;0;0;0;0;250;250;74.1665
10;149;;ПГУ;Педагогики, психологии и социальных наук (бывш. Психологии, Начального и специального образования, Социологии и социальной работы);2017;Human;6;6;10;10;10;1;10.0;0;0;31;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
11;159;Жен;ЯрГУ им. П. Г. Демидова;Исторический;2017;Human;24;25;300;400;700;2;350.0;1;1;12;2;24;25;300;400;700;2;350.0;1;1;12;1;0;0;0;300;300;0;0;0;74.1665
12;182;;ННГУ им. Лобачевского;Социальных наук;2017;Human;4;33;10;2500;10160;26;390.769;1;7;4;2;4;32;50;2500;10150;20;507.5;1;9;5;2;10;0;0;0;0;0;10150;10150;74.1665
13;185;;ПГУТИ (бывш. ПГАТИ);Базового телекоммуникационного образования;2017;Human;1;4;10;300;640;13;49.2308;0;1;33;4;1;4;100;150;250;2;125.0;3;3;33;1;2;0;0;0;0;0;200;200;74.1665
14;211;;МарГУ;Иностранных языков (МГПИ им. Крупской);2015;Human;10;10;30;30;30;1;30.0;0;0;27;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
15;218;;ХГУ (бывш. АГПИ) им. Катанова;Институт филологии и межкультурной коммуникации;2014;Human;4;19;10;500;850;5;170.0;0;7;18;4;2;19;100;500;1050;4;262.5;2;10;18;1;4;0;0;0;0;0;0;0;74.1665
16;273;Жен;ТГУ им. Державина;Институт гуманитарного и социокультурного образования;2018;Human;28;30;100;450;900;4;225.0;1;1;7;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;900;900;74.1665
17;274;Муж;МЭСИ;Институт дистанционного образования;2017;Human;21;33;10;400;1490;16;93.125;0;4;4;4;21;33;100;450;1550;10;155.0;1;4;4;1;8;0;0;600;600;0;0;0;74.1665
18;276;Жен;ПГСГА (бывш. СамГПУ);Начального образования;2014;Human;27;28;1100;1300;2400;2;1200.0;1;1;9;1;27;28;1200;1400;2600;2;1300.0;1;1;9;1;2;1;0;0;0;0;0;0;74.1665
19;287;;ПНИПУ (бывш. ПГТУ);Гуманитарный;2014;Human;1;1;40;40;40;1;40.0;0;0;36;1;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
20;293;;УГТУ-УПИ;Психологии (ИСПН);2014;Human;3;21;20;2400;4650;7;664.2860000000001;1;6;16;4;0;0;0;0;0;0;0.0;0;0;37;0;0;0;0;0;0;0;0;0;74.1665
21;294;;УрГПУ;Институт педагогики и психологии детства;2015;Human;1;9;2400;5000;10400;3;3466.67;3;5;28;1;1;9;2400;5000;10400;3;3466.67;3;5;28;1;3;1;0;0;0;0;0;0;74.1665
22;296;;УрГПУ;Институт специального образования;2018;Human;1;1;2100;2100;2100;2;1050.0;0;0;36;1;1;1;2100;2100;2100;2;1050.0;0;0;36;1;1;0;0;0;0;0;0;0;74.1665
